profile,factor,factor_label,configured_weight,academic_basis,citation,typical_range,notes
ESG-First,ESG_composite,ESG Composite,0.55,ESG integration as material risk factor,"Khan, Serafeim & Yoon (2016) 'Corporate Sustainability: First Evidence on Materiality'; Giese et al. (2019) 'Foundations of ESG Investing'; Riedl & Smeets (2017) 'Why Do Investors Hold Socially Responsible Mutual Funds?'",0.05 – 0.40,ESG-first profiles weight ≥0.30 (impact investing); financial-first ≤0.10 (residual screen only). Khan et al. show material ESG issues predict returns; immaterial ones do not.
ESG-First,financial_score,Financial Quality,0.08,Profitability and quality factor premium,"Novy-Marx (2013) 'The Other Side of Value: The Gross Profitability Premium'; Fama & French (2015) 'A Five-Factor Model'; Asness, Frazzini & Pedersen (2019) 'Quality Minus Junk'",0.10 – 0.30,Gross profitability (Novy-Marx) and operating profitability (Fama-French RMW) are among the strongest cross-sectional predictors.
ESG-First,market_score,Market / Momentum,0.02,Momentum and liquidity factors,Jegadeesh & Titman (1993) 'Returns to Buying Winners and Selling Losers'; Carhart (1997) 'On Persistence in Mutual Fund Performance'; Amihud (2002) 'Illiquidity and Stock Returns',0.05 – 0.15,Momentum (6-12 month) is a robust factor but excluded from IC evaluation to avoid circularity with return proxy. Weight kept moderate; set to zero in ex-market variant.
ESG-First,operational_score,Operational Quality,0.05,Operational efficiency and competitive advantage,"Barney (1991) 'Firm Resources and Sustained Competitive Advantage'; Dechow, Ge & Schrand (2010) 'Understanding Earnings Quality'; Fairfield & Yohn (2001) 'Using Asset Turnover and Profit Margin to Forecast Changes in Profitability'",0.05 – 0.15,"Productivity metrics (revenue/employee, R&D intensity) proxy for sustainable competitive advantage per resource-based view."
ESG-First,risk_adjusted_score,Risk-Adjusted Return,0.08,Risk-return trade-off and tail risk,Sharpe (1966) 'Mutual Fund Performance'; Sortino & van der Meer (1991) 'Downside Risk'; Ang et al. (2006) 'The Cross-Section of Volatility and Expected Returns',0.05 – 0.15,Sharpe/Sortino ratios capture efficiency of return generation. Low-volatility anomaly (Ang et al.) suggests downside risk is priced.
ESG-First,growth_score,Growth,0.06,Revenue and earnings growth momentum,"Lakonishok, Shleifer & Vishny (1994) 'Contrarian Investment, Extrapolation, and Risk'; Chan, Karceski & Lakonishok (2003) 'The Level and Persistence of Growth Rates'",0.05 – 0.12,Moderate weight reflects mean-reversion tendency of extreme growth. Excludes price momentum to avoid look-ahead bias.
ESG-First,value_score,Value,0.03,Value premium (HML factor),Fama & French (1992) 'The Cross-Section of Expected Stock Returns'; Fama & French (1993) 'Common Risk Factors'; Asness et al. (2013) 'Value and Momentum Everywhere',0.03 – 0.12,Value premium is well-documented but has weakened post-2010. Low-to-moderate weight balances value trap risk.
ESG-First,stability_score,Stability / Low Leverage,0.06,Low-volatility / defensive factor,"Baker, Bradley & Wurgler (2011) 'Benchmarks as Limits to Arbitrage: Understanding the Low-Volatility Anomaly'; Frazzini & Pedersen (2014) 'Betting Against Beta'",0.03 – 0.10,"Balance sheet stability (current ratio, debt-to-equity) proxies for the BAB / low-volatility factor."
ESG-First,similarity_rank,Peer-Group Alignment,0.0,Relative valuation and sector-neutral selection,Bhojraj & Lee (2002) 'Who Is My Peer? A Valuation-Based Approach'; Daniel & Titman (1997) 'Evidence on the Characteristics of Cross Sectional Variation in Stock Returns',0.01 – 0.10,Peer-group similarity aids diversification and prevents sector concentration. ESG-first profiles weight higher to reward ESG leaders within each sector.
ESG-First,sector_position,Within-Sector Rank,0.07,Industry momentum and relative strength,"Moskowitz & Grinblatt (1999) 'Do Industries Explain Momentum?'; Asness, Porter & Stevens (2000) 'Predicting Stock Returns Using Industry-Relative Firm Characteristics'",0.01 – 0.06,Industry-relative metrics reduce sector bias. Small weight reflects supplementary role.
Balanced,ESG_composite,ESG Composite,0.22,ESG integration as material risk factor,"Khan, Serafeim & Yoon (2016) 'Corporate Sustainability: First Evidence on Materiality'; Giese et al. (2019) 'Foundations of ESG Investing'; Riedl & Smeets (2017) 'Why Do Investors Hold Socially Responsible Mutual Funds?'",0.05 – 0.40,ESG-first profiles weight ≥0.30 (impact investing); financial-first ≤0.10 (residual screen only). Khan et al. show material ESG issues predict returns; immaterial ones do not.
Balanced,financial_score,Financial Quality,0.18,Profitability and quality factor premium,"Novy-Marx (2013) 'The Other Side of Value: The Gross Profitability Premium'; Fama & French (2015) 'A Five-Factor Model'; Asness, Frazzini & Pedersen (2019) 'Quality Minus Junk'",0.10 – 0.30,Gross profitability (Novy-Marx) and operating profitability (Fama-French RMW) are among the strongest cross-sectional predictors.
Balanced,market_score,Market / Momentum,0.05,Momentum and liquidity factors,Jegadeesh & Titman (1993) 'Returns to Buying Winners and Selling Losers'; Carhart (1997) 'On Persistence in Mutual Fund Performance'; Amihud (2002) 'Illiquidity and Stock Returns',0.05 – 0.15,Momentum (6-12 month) is a robust factor but excluded from IC evaluation to avoid circularity with return proxy. Weight kept moderate; set to zero in ex-market variant.
Balanced,operational_score,Operational Quality,0.06,Operational efficiency and competitive advantage,"Barney (1991) 'Firm Resources and Sustained Competitive Advantage'; Dechow, Ge & Schrand (2010) 'Understanding Earnings Quality'; Fairfield & Yohn (2001) 'Using Asset Turnover and Profit Margin to Forecast Changes in Profitability'",0.05 – 0.15,"Productivity metrics (revenue/employee, R&D intensity) proxy for sustainable competitive advantage per resource-based view."
Balanced,risk_adjusted_score,Risk-Adjusted Return,0.15,Risk-return trade-off and tail risk,Sharpe (1966) 'Mutual Fund Performance'; Sortino & van der Meer (1991) 'Downside Risk'; Ang et al. (2006) 'The Cross-Section of Volatility and Expected Returns',0.05 – 0.15,Sharpe/Sortino ratios capture efficiency of return generation. Low-volatility anomaly (Ang et al.) suggests downside risk is priced.
Balanced,growth_score,Growth,0.14,Revenue and earnings growth momentum,"Lakonishok, Shleifer & Vishny (1994) 'Contrarian Investment, Extrapolation, and Risk'; Chan, Karceski & Lakonishok (2003) 'The Level and Persistence of Growth Rates'",0.05 – 0.12,Moderate weight reflects mean-reversion tendency of extreme growth. Excludes price momentum to avoid look-ahead bias.
Balanced,value_score,Value,0.04,Value premium (HML factor),Fama & French (1992) 'The Cross-Section of Expected Stock Returns'; Fama & French (1993) 'Common Risk Factors'; Asness et al. (2013) 'Value and Momentum Everywhere',0.03 – 0.12,Value premium is well-documented but has weakened post-2010. Low-to-moderate weight balances value trap risk.
Balanced,stability_score,Stability / Low Leverage,0.08,Low-volatility / defensive factor,"Baker, Bradley & Wurgler (2011) 'Benchmarks as Limits to Arbitrage: Understanding the Low-Volatility Anomaly'; Frazzini & Pedersen (2014) 'Betting Against Beta'",0.03 – 0.10,"Balance sheet stability (current ratio, debt-to-equity) proxies for the BAB / low-volatility factor."
Balanced,similarity_rank,Peer-Group Alignment,0.0,Relative valuation and sector-neutral selection,Bhojraj & Lee (2002) 'Who Is My Peer? A Valuation-Based Approach'; Daniel & Titman (1997) 'Evidence on the Characteristics of Cross Sectional Variation in Stock Returns',0.01 – 0.10,Peer-group similarity aids diversification and prevents sector concentration. ESG-first profiles weight higher to reward ESG leaders within each sector.
Balanced,sector_position,Within-Sector Rank,0.08,Industry momentum and relative strength,"Moskowitz & Grinblatt (1999) 'Do Industries Explain Momentum?'; Asness, Porter & Stevens (2000) 'Predicting Stock Returns Using Industry-Relative Firm Characteristics'",0.01 – 0.06,Industry-relative metrics reduce sector bias. Small weight reflects supplementary role.
Financial-First,ESG_composite,ESG Composite,0.05,ESG integration as material risk factor,"Khan, Serafeim & Yoon (2016) 'Corporate Sustainability: First Evidence on Materiality'; Giese et al. (2019) 'Foundations of ESG Investing'; Riedl & Smeets (2017) 'Why Do Investors Hold Socially Responsible Mutual Funds?'",0.05 – 0.40,ESG-first profiles weight ≥0.30 (impact investing); financial-first ≤0.10 (residual screen only). Khan et al. show material ESG issues predict returns; immaterial ones do not.
Financial-First,financial_score,Financial Quality,0.25,Profitability and quality factor premium,"Novy-Marx (2013) 'The Other Side of Value: The Gross Profitability Premium'; Fama & French (2015) 'A Five-Factor Model'; Asness, Frazzini & Pedersen (2019) 'Quality Minus Junk'",0.10 – 0.30,Gross profitability (Novy-Marx) and operating profitability (Fama-French RMW) are among the strongest cross-sectional predictors.
Financial-First,market_score,Market / Momentum,0.1,Momentum and liquidity factors,Jegadeesh & Titman (1993) 'Returns to Buying Winners and Selling Losers'; Carhart (1997) 'On Persistence in Mutual Fund Performance'; Amihud (2002) 'Illiquidity and Stock Returns',0.05 – 0.15,Momentum (6-12 month) is a robust factor but excluded from IC evaluation to avoid circularity with return proxy. Weight kept moderate; set to zero in ex-market variant.
Financial-First,operational_score,Operational Quality,0.08,Operational efficiency and competitive advantage,"Barney (1991) 'Firm Resources and Sustained Competitive Advantage'; Dechow, Ge & Schrand (2010) 'Understanding Earnings Quality'; Fairfield & Yohn (2001) 'Using Asset Turnover and Profit Margin to Forecast Changes in Profitability'",0.05 – 0.15,"Productivity metrics (revenue/employee, R&D intensity) proxy for sustainable competitive advantage per resource-based view."
Financial-First,risk_adjusted_score,Risk-Adjusted Return,0.18,Risk-return trade-off and tail risk,Sharpe (1966) 'Mutual Fund Performance'; Sortino & van der Meer (1991) 'Downside Risk'; Ang et al. (2006) 'The Cross-Section of Volatility and Expected Returns',0.05 – 0.15,Sharpe/Sortino ratios capture efficiency of return generation. Low-volatility anomaly (Ang et al.) suggests downside risk is priced.
Financial-First,growth_score,Growth,0.15,Revenue and earnings growth momentum,"Lakonishok, Shleifer & Vishny (1994) 'Contrarian Investment, Extrapolation, and Risk'; Chan, Karceski & Lakonishok (2003) 'The Level and Persistence of Growth Rates'",0.05 – 0.12,Moderate weight reflects mean-reversion tendency of extreme growth. Excludes price momentum to avoid look-ahead bias.
Financial-First,value_score,Value,0.07,Value premium (HML factor),Fama & French (1992) 'The Cross-Section of Expected Stock Returns'; Fama & French (1993) 'Common Risk Factors'; Asness et al. (2013) 'Value and Momentum Everywhere',0.03 – 0.12,Value premium is well-documented but has weakened post-2010. Low-to-moderate weight balances value trap risk.
Financial-First,stability_score,Stability / Low Leverage,0.07,Low-volatility / defensive factor,"Baker, Bradley & Wurgler (2011) 'Benchmarks as Limits to Arbitrage: Understanding the Low-Volatility Anomaly'; Frazzini & Pedersen (2014) 'Betting Against Beta'",0.03 – 0.10,"Balance sheet stability (current ratio, debt-to-equity) proxies for the BAB / low-volatility factor."
Financial-First,similarity_rank,Peer-Group Alignment,0.0,Relative valuation and sector-neutral selection,Bhojraj & Lee (2002) 'Who Is My Peer? A Valuation-Based Approach'; Daniel & Titman (1997) 'Evidence on the Characteristics of Cross Sectional Variation in Stock Returns',0.01 – 0.10,Peer-group similarity aids diversification and prevents sector concentration. ESG-first profiles weight higher to reward ESG leaders within each sector.
Financial-First,sector_position,Within-Sector Rank,0.05,Industry momentum and relative strength,"Moskowitz & Grinblatt (1999) 'Do Industries Explain Momentum?'; Asness, Porter & Stevens (2000) 'Predicting Stock Returns Using Industry-Relative Firm Characteristics'",0.01 – 0.06,Industry-relative metrics reduce sector bias. Small weight reflects supplementary role.
