category,finding,significance
Data,Sample of 269 companies across 11 sectors,N/A
Data,US: 181 companies,N/A
Data,India: 88 companies,N/A
ESG-Financial (Synthetic Calibration),"ESG_composite associated with roa (R2=0.1059) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
ESG-Financial (Synthetic Calibration),"ESG_composite associated with roe (R2=0.0218) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0153
ESG-Financial (Synthetic Calibration),"ESG_composite associated with net_margin (R2=0.0932) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
ESG-Financial (Synthetic Calibration),"ESG_composite associated with financial_score (R2=0.3250) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
ESG-Financial (Synthetic Calibration),"ESG_composite associated with revenue_growth (R2=0.0162) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0372
ESG-Financial (Synthetic Calibration),"ESG_composite associated with operating_margins (R2=0.2149) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
ESG-Financial (Synthetic Calibration),"E_score associated with roa (R2=0.1167) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
ESG-Financial (Synthetic Calibration),"E_score associated with financial_score (R2=0.2888) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
ESG-Financial (Synthetic Calibration),"S_score associated with roa (R2=0.0562) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0001
ESG-Financial (Synthetic Calibration),"S_score associated with financial_score (R2=0.2496) [ESG data predominantly synthetic -- corr_weight removed, correlation emergent from sector patterns only]",p=0.0000
Sector Differences,Significant sector differences in ESG_composite (eta2=0.107),p=0.0010
Sector Differences,Significant sector differences in S_score (eta2=0.250),p=0.0000
Sector Differences,Significant sector differences in G_score (eta2=0.279),p=0.0000
Sector Differences,Significant sector differences in financial_score (eta2=0.077),p=0.0204
Sector Differences,Significant sector differences in market_score (eta2=0.301),p=0.0000
Sector Differences,Significant sector differences in pref_balanced (eta2=0.072),p=0.0329
Sector Differences,Significant sector differences in pref_esg_first (eta2=0.092),p=0.0048
Country Differences,Significant country difference in S_score (d=0.742),p=0.0000
Country Differences,Significant country difference in market_score (d=0.656),p=0.0000
Country Differences,Significant country difference in operational_score (d=1.022),p=0.0000
Country Differences,Significant country difference in risk_adjusted_score (d=-0.767),p=0.0000
Country Differences,Significant country difference in value_score (d=0.835),p=0.0000
Robustness,25.3% of companies have stable rankings under weight perturbation,N/A
Multicollinearity,Max VIF = 4.44 (ESG_composite),Low
Excess Momentum/Beta,"Multi-factor excess avg momentum = +0.00%, beta = 0.91",N/A
Robustness,Balanced strategy beats benchmark 100% of rolling periods,N/A
